Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
04/17/2025,DODG,4D,,BLK,EN92358,IL,10300 S. Doty,(773) 568-8495,2986513
04/16/2025,HOND,4D,,WHI,EV34261,IL,701 N. Sacramento,(773) 265-7605,7120583
04/27/2025,TOYT,4T,,GRY,8PZ348,MA,701 N. Sacramento,(773) 265-7605,7121557
07/11/2025,JEEP,LL,GCH,RED,FA72667,IL,701 N. Sacramento,(773) 265-7605,7127796
07/11/2025,GMC,LL,ACA,BLK,FG28726,IL,701 N. Sacramento,(773) 265-7605,7127797
07/11/2025,NISS,4D,MAX,GRY,FD36986,IL,701 N. Sacramento,(773) 265-7605,7127798
05/03/2025,LINC,4D,,TAN,,IL,701 N. Sacramento,(773) 265-7605,7122065
05/12/2025,MITS,2D,,BLK,NONE,IL,10300 S. Doty,(773) 568-8495,2987580
05/23/2025,KIA,4D,,BLK,DS21078,IL,701 N. Sacramento,(773) 265-7605,7123630
06/16/2025,YAMA,MC,,SIL,M651WZ,IN,10300 S. Doty,(773) 785-9752,1728271
06/16/2025,CHEV,LL,ETK,WHI,3950876B,IL,701 N. Sacramento,(773) 265-7605,7125644
05/29/2025,FORD,4D,FUS,BLK,FA90499,IL,701 N. Sacramento,(773) 265-7605,7124116
05/29/2025,MERZ,4D,GLB,WHI,DU78665,IL,701 N. Sacramento,(773) 265-7605,7124117
06/22/2025,FORD,4D,TAU,GRY,9169773,TX,701 N. Sacramento,(773) 265-7605,7126162
06/22/2025,CHRY,VN,TNC,MAR,FG43864,IL,400 E. Lower Wacker,(312) 744-7550,0345625
06/22/2025,HOND,LL,HRV,GRY,CY69442,IL,701 N. Sacramento,(773) 265-7605,7126163
05/18/2025,CHRY,4D,,BLU,BBK27M,AR,400 E. Lower Wacker,(312) 744-7550,0343014
06/30/2025,DODG,4D,,GRN,3596073B,IL,701 N. Sacramento,(773) 265-7605,7127111
04/29/2025,HOND,VC,,GLD,CY97516,IL,701 N. Sacramento,(773) 265-7605,7121744
05/12/2025,SUBA,4D,,WHI,DP16647,IL,701 N. Sacramento,(773) 265-7605,7122864
06/13/2025,VOLK,4D,,SIL,BB23177,IL,10300 S. Doty,(773) 568-8495,2988901
05/05/2025,MERZ,LL,,WHI,EB92919,IL,701 N. Sacramento,(773) 265-7605,7122241
06/16/2025,CHEV,4D,CRZ,GRY,EZ60363,IL,701 N. Sacramento,(773) 265-7605,7125645
07/11/2025,CHRY,VN,TNC,BLK,,,10300 S. Doty,(773) 568-8495,2990166
06/25/2025,CHRY,VN,TOW,LBL,FG93657,IL,701 N. Sacramento,(773) 265-7605,7126277
07/06/2025,LINC,4D,,BLK,C8386924,MI,10300 S. Doty,(773) 568-8495,2989890
07/13/2025,TOYT,4D,,WHI,ASD3211,WI,701 N. Sacramento,(773) 265-7605,7128089
07/09/2025,DODG,VN,,BLU,EJ19858,IL,10300 S. Doty,(773) 568-8495,2990022
05/29/2025,HYUN,4D,INQ,BLK,EF22128,IL,701 N. Sacramento,(773) 265-7605,7124118
06/22/2025,TESL,4D,T3,BLK,977CXZ,IN,10300 S. Doty,(773) 568-8495,2989282
06/13/2025,CHRY,4D,,SIL,EM50084,IL,10300 S. Doty,(773) 568-8495,2988902
07/09/2025,BMW,4D,,GLD,EW77335,IL,10300 S. Doty,(773) 568-8495,2990019
06/01/2025,TOYT,4D,,WHI,NONE,IL,701 N. Sacramento,(773) 265-7605,7124459
04/24/2025,CHRY,VN,,DGR,CJ57072,IL,701 N. Sacramento,(773) 265-7605,7121245
05/18/2025,HYUN,4D,ELN,SIL,DP86445,IL,10300 S. Doty,(773) 568-8495,2987841
06/03/2025,JEEP,LL,PAT,RED,BW57740,IL,701 N. Sacramento,(773) 265-7605,7124548
05/29/2025,TOYT,4D,CAM,BLK,CZ22341,IL,701 N. Sacramento,(773) 265-7605,7124119
06/05/2025,BMW,4D,,SIL,004892A4,IL,10300 S. Doty,(773) 785-9752,1728227
06/11/2025,FORD,4D,,BLK,,,10300 S. Doty,(773) 568-8495,2988799
06/30/2025,ACUR,4D,,SIL,DR35913,IL,701 N. Sacramento,(773) 265-7605,7127112
07/09/2025,CHRY,4D,,BLK,EY54669,IL,10300 S. Doty,(773) 568-8495,2990020
06/11/2025,NISS,4D,,BLK,DC92927,IL,701 N. Sacramento,(773) 265-7605,2988795
06/15/2025,TOYT,4D,,GRY,R888119,IL,701 N. Sacramento,(773) 265-7605,7125619
05/31/2025,FORD,LL,,BLU,EZ89453,IL,10300 S. Doty,(773) 568-8495,2988436
07/08/2025,NISS,LL,,GRY,MC83IS,IL,10300 S. Doty,(773) 568-8495,2990021
06/27/2025,HOND,4D,,WHI,BMR636,IN,400 E. Lower Wacker,(312) 744-7550,03459
07/09/2025,NISS,LL,,WHI,FC87896,IL,10300 S. Doty,(773) 568-8495,2990023
06/05/2025,LEXS,4D,,WHI,0000,IL,10300 S. Doty,(773) 785-9752,1728228
07/06/2025,CHEV,PK,,GRN,2994112B,IL,701 N. Sacramento,(773) 265-7605,7127559
07/13/2025,NISS,LL,,BLU,FA59188,IL,701 N. Sacramento,(773) 265-7605,7128092
06/05/2025,PONT,4D,,GRY,867F289,IN,701 N. Sacramento,(773) 265-7605,7124685
06/11/2025,INFI,LL,,GRN,EZ65838,IL,10300 S. Doty,(773) 568-8495,2988798
06/11/2025,KIA,LL,,BLK,DR60797,IL,10300 S. Doty,(773) 568-8495,2988797
06/11/2025,CHEV,LL,,BGE,ES59286,IL,10300 S. Doty,(773) 568-8495,2988803
07/06/2025,HOND,4D,,WHI,DP23987,IL,701 N. Sacramento,(773) 265-7605,7127558
06/11/2025,INFI,LL,,BLK,EL34424,IL,10300 S. Doty,(773) 568-8495,2988800
04/21/2025,HOND,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2986717
06/15/2025,SUBA,4D,,GRY,N244837,IL,400 E. Lower Wacker,(312) 744-7550,0345135
07/06/2025,FORD,4D,,BLU,,,701 N. Sacramento,(773) 265-7605,7127560
07/09/2025,CHEV,LL,,BRO,3318790B,IL,701 N. Sacramento,(773) 265-7605,7127694
07/01/2025,CHEV,PK,CLD,BLU,2447929B,IL,10300 S. Doty,(773) 568-8495,2989667
07/09/2025,INFI,LL,,WHI,EU38666,IL,701 N. Sacramento,(773) 265-7605,515123
07/03/2025,MERZ,4D,,BLK,NYN2474,TX,701 N. Sacramento,(773) 265-7605,7127281
05/27/2025,TOYT,TC,,WHI,NO,IL,10300 S. Doty,(773) 785-9752,1728159
07/01/2025,JEEP,LL,CHK,SIL,NONE,IL,10300 S. Doty,(773) 568-8495,2989666
06/05/2025,CHRY,4D,,RED,AN56965,IL,10300 S. Doty,(773) 568-8495,2988606
05/21/2025,GMC,LL,,BLU,0000,IL,10300 S. Doty,(773) 568-8495,2987933
05/05/2025,HOND,LL,,GRY,ER70815,IL,400 E. Lower Wacker,(312) 744-7550,0342051
05/01/2025,TESL,4D,,GRY,89577EL,IL,10300 S. Doty,(773) 568-8495,2987119
04/24/2025,BUIC,LL,,BRO,,IL,10300 S. Doty,(773) 568-8495,2986816
06/25/2025,KIA,LL,SPT,BLK,DK76257,IL,701 N. Sacramento,(773) 265-1846,1549440
06/11/2025,CHEV,4D,,WHI,FD89539,IL,10300 S. Doty,(773) 568-8495,2988804
06/23/2025,TOYT,VN,,SIL,DB59235,IL,701 N. Sacramento,(773) 265-7605,7126171
06/25/2025,BUIC,4D,LUC,GRY,DY82147,IL,10300 S. Doty,(773) 785-9752,1728298
06/08/2025,CADI,LL,SRX,TAN,NONE,IL,701 N. Sacramento,(773) 265-7605,7125030
06/25/2025,GMC,LL,ENV,WHI,DR27547,IL,10300 S. Doty,(773) 568-8495,2989379
06/13/2025,FORD,PK,,RED,3953010B,IL,10300 S. Doty,(773) 568-8495,2988903
05/14/2025,NISS,LL,MUR,WHI,BM49678,IL,10300 S. Doty,(773) 568-8495,2987665
06/13/2025,CHEV,4D,,WHI,DR53608,IL,10300 S. Doty,(773) 568-8495,2988904
06/27/2025,TWOG,TE,,RED,NONE,IL,10300 S. Doty,(773) 568-8495,2989461
04/24/2025,INFI,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7121248
06/15/2025,VOLV,2D,,BLU,EQ33410,IL,701 N. Sacramento,(773) 265-7605,7125620
06/30/2025,JEEP,LL,CMP,BLK,DM44379,IL,701 N. Sacramento,(773) 265-7605,7127115
06/25/2025,FORD,2D,MME,GRN,NONE,IL,10300 S. Doty,(773) 568-8495,2989381
06/25/2025,KIA,LL,SOR,BLK,DC49153,IL,10300 S. Doty,(773) 568-8495,2989378
07/03/2025,INFI,4D,G37,SIL,NONE,IL,10300 S. Doty,(773) 568-8495,2989736
06/25/2025,CHEV,4D,CRZ,BLK,DM23713,IL,10300 S. Doty,(773) 568-8495,2989380
04/24/2025,JEEP,LL,,GRY,EW39769,IL,701 N. Sacramento,(773) 265-7605,7121247
05/20/2025,DODG,2D,,BLK,S671998,IL,10300 S. Doty,(773) 568-8495,2987938
05/21/2025,FORD,4D,,BLU,180460EN,IL,10300 S. Doty,(773) 568-8495,2987957
06/23/2025,KIA,LL,,BLU,BA34782,IL,701 N. Sacramento,(773) 265-7605,25040392
07/03/2025,LEXS,4D,L46,SIL,EJ73117,IL,701 N. Sacramento,(773) 265-7605,7127287
05/12/2025,FORD,LL,,BLK,,,701 N. Sacramento,(773) 265-7605,7122869
04/17/2025,GMC,LL,TK,WHI,CQ56139,IL,10300 S. Doty,(773) 568-8495,514156
04/18/2025,DODG,LL,,GRY,GTT9367,OH,10300 S. Doty,(773) 568-8495,2986590
06/27/2025,NISS,4D,,WHI,CT96025,IL,400 E. Lower Wacker,(312) 744-7550,0345917
06/30/2025,HOND,4D,,GRY,,,701 N. Sacramento,(773) 265-7605,7127114
04/17/2025,JEEP,LL,,BLK,BN50840,IL,701 N. Sacramento,(773) 265-7605,7120611
05/17/2025,FORD,4D,,GRY,290AC833,IL,701 N. Sacramento,(773) 265-7605,7123143
05/18/2025,FORD,4D,FOC,SIL,NONE,IL,701 N. Sacramento,(773) 265-7605,7123287
05/30/2025,GMC,LF,,RED,212407H,IL,10300 S. Doty,(773) 785-9752,1728191
07/03/2025,INFI,LL,,BLK,Q885835,IL,10300 S. Doty,(773) 568-8495,2989735
06/27/2025,FORD,PK,,WHI,NONE,IL,10300 S. Doty,(773) 568-8495,2989460
06/11/2025,DODG,4D,,BLK,T513957,IL,701 N. Sacramento,(773) 265-7605,7125136
05/12/2025,SUBA,4D,LEG,SIL,ET79006,IL,701 N. Sacramento,(773) 265-7605,7122852
06/22/2025,ACUR,LL,MDX,BLK,GB7638,IL,10300 S. Doty,(773) 568-8495,2989278
06/13/2025,LINC,4D,,BLK,DX64473,IL,10300 S. Doty,(773) 568-8495,2988905
07/12/2025,DODG,4D,,BLK,FB50344,IL,400 E. Lower Wacker,(312) 744-7550,0347128
06/25/2025,CHEV,4D,IMP,RED,EX93352,IL,10300 S. Doty,(773) 568-8495,2989377
06/05/2025,NISS,4D,,SIL,0000,IL,701 N. Sacramento,(773) 265-7605,7124688
07/12/2025,KIA,4D,,BLK,CVZ4857,GA,10300 S. Doty,(773) 568-8495,2990170
06/05/2025,CHEV,2D,,RED,0000,IL,10300 S. Doty,(773) 568-8495,2988614
06/27/2025,HOND,4D,CIV,WHI,CY20185,IL,701 N. Sacramento,(773) 265-1846,1549450
07/12/2025,HOND,4D,,GRY,DS86058,IL,10300 S. Doty,(773) 568-8495,2990169
05/01/2025,FORD,LL,,SIL,,,10300 S. Doty,(773) 568-8495,2987120
06/09/2025,FORD,4D,,BLU,EU13768,IL,10300 S. Doty,(773) 568-8495,2988752
05/23/2025,NISS,4D,,BLK,2022ABD,KS,400 E. Lower Wacker,(312) 744-7550,0343484
06/05/2025,AUDI,LL,,BLK,AG60256,IL,10300 S. Doty,(773) 568-8495,2988615
06/23/2025,CHRY,4D,,WHI,EX91310,IL,10300 S. Doty,(773) 568-8495,25040355
06/13/2025,JEEP,LL,,BLK,EY97947,IL,701 N. Sacramento,(773) 265-7605,7125239
05/14/2025,JEEP,LL,GCH,BLK,NONE,IL,10300 S. Doty,(773) 568-8495,2987666
06/25/2025,NISS,LL,RGE,BLK,ES20602,IL,10300 S. Doty,(773) 568-8495,2989384
06/13/2025,VOLK,4D,,BLK,EV92672,IL,701 N. Sacramento,(773) 265-7605,7125240
06/25/2025,HYUN,4D,ELN,GRY,DY78897,IL,10300 S. Doty,(773) 568-8495,2989385
06/19/2025,VOLK,4D,JET,SIL,,,10300 S. Doty,(773) 568-8495,2989183
07/12/2025,CADI,LL,,CRM,,,10300 S. Doty,(773) 568-8495,2990167
05/21/2025,CHEV,RF,,GRY,ER44870,IN,701 N. Sacramento,(773) 265-7605,7123424
06/30/2025,TOYT,LL,,BGE,FE55902,IL,701 N. Sacramento,(773) 265-7605,7127116
05/06/2025,NISS,4D,,WHI,BZ68392,IL,400 E. Lower Wacker,(312) 744-7550,0342054
06/08/2025,CHEV,PK,,BLK,0000,IL,10300 S. Doty,(773) 568-8495,2988711
05/17/2025,SUBA,4D,,GRY,R877561,IL,701 N. Sacramento,(773) 265-7605,7123147
07/03/2025,LEXS,2D,RC3,WHI,CG68938,IL,701 N. Sacramento,(773) 265-7605,7127285
07/03/2025,SUBA,LL,FOR,BLK,EG74661,IL,701 N. Sacramento,(773) 265-7605,7127282
05/09/2025,CHEV,4D,,SIL,FH55857,IL,Police Pound,,514430
06/19/2025,NISS,4D,VRS,WHI,,,10300 S. Doty,(773) 568-8495,2989182
06/08/2025,TWOG,UT,,BRO,0000,IL,10300 S. Doty,(773) 568-8495,2988716
04/29/2025,JEEP,LL,,MAR,EG21300,IL,400 E. Lower Wacker,(312) 744-7550,0341513
06/06/2025,HOND,4D,,RED,DK89235,IL,400 E. Lower Wacker,(312) 744-7550,0344444
05/23/2025,LEXS,4D,,WHI,NONE,IL,701 N. Sacramento,(773) 265-7605,7123627
07/01/2025,HOND,4D,,GRY,FB71087,IL,400 E. Lower Wacker,(312) 744-7550,0346174
05/03/2025,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7122069
06/27/2025,TOYT,PK,TUN,BRZ,194048EN,IL,701 N. Sacramento,(773) 265-1846,1549449
06/25/2025,FORD,4D,TAU,MAR,V583891,IL,10300 S. Doty,(773) 568-8495,2989383
06/16/2025,NISS,4D,VRS,WHI,4438IP,IL,701 N. Sacramento,(773) 265-1846,1549402
07/03/2025,CHEV,LL,EQX,GRY,NONE,IL,10300 S. Doty,(773) 568-8495,2989733
05/14/2025,HOND,4D,,SIL,DV22979,IL,701 N. Sacramento,(773) 265-1846,1549199
06/03/2025,HOND,VN,ODY,GRY,DN44780,IL,701 N. Sacramento,(773) 265-7605,7124550
06/13/2025,TOYT,LL,,BLU,DQ11802,IL,701 N. Sacramento,(773) 265-7605,7125243
04/17/2025,HYUN,4D,,GRY,EQ71312,IL,400 E. Lower Wacker,(312) 744-7550,0340571
06/29/2025,MITS,4D,,BLK,EB93501,IL,701 N. Sacramento,(773) 265-7605,7126983
05/17/2025,NISS,4D,,BLU,DY74203,IL,10300 S. Doty,(773) 568-8495,297786
04/26/2025,KIA,LL,,SIL,,IL,10300 S. Doty,(773) 568-8495,2986905
05/27/2025,BUIC,4D,,WHI,222AB851,IL,701 N. Sacramento,(773) 265-1846,1549280
07/03/2025,TOYT,LL,HGH,TAN,DD13975,IL,701 N. Sacramento,(773) 265-7605,7127284
05/06/2025,PONT,4D,,MAR,DS59055,IL,400 E. Lower Wacker,(312) 744-7550,0342059
07/12/2025,DODG,LL,,WHI,3516678B,IL,10300 S. Doty,(773) 568-8495,2990168
04/26/2025,KIA,LL,,WHI,DC96970,IL,10300 S. Doty,(773) 568-8495,2986907
06/06/2025,NISS,4D,,GRY,EZ34959,IL,400 E. Lower Wacker,(312) 744-7550,0344445
07/06/2025,NISS,4D,SEN,BLK,DS15566,IL,701 N. Sacramento,(773) 265-7605,7127561
06/12/2025,NISS,2D,,GRY,1234567,IL,10300 S. Doty,(773) 568-8495,2988898
07/06/2025,VOLV,4D,S40,SIL,806697,IL,701 N. Sacramento,(773) 265-7605,7127562
07/08/2025,LEXS,4D,,BLU,AN83767,IL,400 E. Lower Wacker,(312) 744-7550,0346866
07/03/2025,JEEP,LL,GCH,BLK,EYM2550,MI,10300 S. Doty,(773) 568-8495,2989734
04/29/2025,AUDI,LL,,BLK,EH79091,IL,701 N. Sacramento,(773) 265-1846,1549124
06/13/2025,FORD,4D,,WHI,EZ91627,IL,701 N. Sacramento,(773) 265-7605,7125244
05/17/2025,GMC,LL,,GRY,DH54245,IL,701 N. Sacramento,(773) 265-7605,7123151
06/11/2025,HYUN,4D,,GRY,CA40426,IL,10300 S. Doty,(773) 568-8495,2988809
06/16/2025,CHEV,VN,,MAR,CDP801,IL,701 N. Sacramento,(773) 265-1846,1549404
05/21/2025,TOYT,4D,COA,BLK,E827921,IL,701 N. Sacramento,(773) 265-7605,7123429
07/11/2025,KIA,LL,,BLK,EP81008,IL,701 N. Sacramento,(773) 265-7605,7127344
06/29/2025,FORD,4D,,BLK,BZ45712,IL,701 N. Sacramento,(773) 265-7605,7126985
07/08/2025,CHEV,4D,,WHI,,,701 N. Sacramento,(773) 265-7605,7127673
05/17/2025,CHRY,4D,,BLK,T972636,IN,400 E. Lower Wacker,(312) 744-7550,0342932
06/30/2025,FORD,4D,,RED,510EGS,IN,701 N. Sacramento,(773) 265-7605,7127117
07/13/2025,TOYT,4D,,SIL,EL17753,IL,701 N. Sacramento,(773) 265-7605,7128090
05/18/2025,CADI,4D,DTS,SIL,N752669,IL,701 N. Sacramento,(773) 265-7605,7123293
07/09/2025,CHEV,4D,,BLK,ES19314,IL,400 E. Lower Wacker,(312) 744-7550,0346891
07/01/2025,FORD,PK,F15,WHI,1M237FF,IL,701 N. Sacramento,(773) 265-7605,7127167
06/03/2025,HOND,VN,ODY,TAN,AHV5158,WI,701 N. Sacramento,(773) 265-7605,7124552
06/13/2025,TOYT,4D,,BLK,CJ51139,IL,701 N. Sacramento,(773) 265-7605,7125242
05/29/2025,JEEP,LL,GCH,BLK,985CZG,IN,701 N. Sacramento,(773) 265-7605,7124124
06/11/2025,DODG,PK,,GRY,2801281B,IL,10300 S. Doty,(773) 568-8495,2988808
06/11/2025,CHEV,LL,,WHI,ZY25082,IL,701 N. Sacramento,(773) 265-7605,7125138
05/27/2025,LEXS,4D,,GRY,BD97345,IL,701 N. Sacramento,(773) 265-7605,7123990
06/25/2025,HYUN,4D,ELN,GRN,FA90980,IL,701 N. Sacramento,(773) 265-7605,7126279
05/29/2025,BMW,LL,X3,BLK,CZ64152,IL,701 N. Sacramento,(773) 265-7605,7124122
